source_type,source_row_index,spotify_track_id,isrc,track_name,artist_names,duration_ms,event_time,time_range,rank,playlist_id,playlist_name,playlist_position,match_status,match_method,matched_ds001_id,matched_song,matched_artist,duration_delta_ms,reason,preference_weight
top_tracks,147,1lfQ1Upwiu5Fr9doTkspv3,ITVK71600007,"Jill's Theme - From ""Once Upon A Time In The West""",Ennio Morricone | Czech National Symphony Orchestra | Csaba Kiss | Péter Gyüvészi | Stefano Cucci,186040,,short_term,147,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,148,1ns4tLflyL2FDgH23Wq7hu,GBAYC8100207,"Mozart: Don Giovanni, K. 527: Overture",Wolfgang Amadeus Mozart | Sir Neville Marriner | Academy of St. Martin in the Fields,390200,,short_term,148,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,149,1nsUmjTDFBHtF0e9YDZKkG,USUV72503791,"Between The Wheels - Live At Maple Leaf Gardens, Toronto, Canada, September 21, 1984",Rush,341023,,short_term,149,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,151,3xkHsmpQCBMytMJNiDf3Ii,USWB12307016,Beautiful Things,Benson Boone,180304,,short_term,151,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,153,52q3JFaEKB54R12ciC7J4P,USWB10500058,"Cherish - 7"" Version",Madonna,243417,,short_term,153,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,156,6WzRpISELf3YglGAh7TXcG,USUG12303876,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd | Playboi Carti | Madonna,215466,,short_term,156,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,157,6ppj20FRcnCAaM7vRhJd0b,DEA809199028,"Mozart: Così fan tutte, K. 588, Act 1: Sestetto. ""Alla bella Despinetta"" (Fiordiligi, Dorabella, Despina, Ferrando, Don Alfonso, Guglielmo)",Wolfgang Amadeus Mozart | Nikolaus Harnoncourt | Royal Concertgebouw Orchestra | Anna Steiger | Charlotte Margiono | Delores Ziegler | Deon Van Der Walt | Gilles Cachemaille | Thomas Hampson,282506,,short_term,157,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,158,6vNZ2o21cwzNHozR6zY70n,GBUM71204302,Night Train - Instrumental Version,Steve Winwood,403360,,short_term,158,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,161,0pNeVovbiZHkulpGeOx1Gj,GBAYE0601691,Something - Remastered 2009,The Beatles,182293,,short_term,161,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,166,389QX9Q1eUOEZ19vtzzI9O,GBAYE0601650,While My Guitar Gently Weeps - Remastered 2009,The Beatles,285000,,short_term,166,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,175,09x9v1o51dbqi5H0u7UGfp,GBAYE0601659,I Will - Remastered 2009,The Beatles,105933,,short_term,175,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,178,2mxByJWOajjiVsLWjNXvDJ,GBAYE0601693,Oh! Darling - Remastered 2009,The Beatles,207240,,short_term,178,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,180,3m7V717IKZqZLW5qUIOxdD,GBAYE0900596,Hey Jude - Remastered 2009,The Beatles,431333,,short_term,180,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,182,5Qe7NHxeLAn8KoLTNLSdwe,GBAYE0801384,I Want To Hold Your Hand - Remastered 2009,The Beatles,146720,,short_term,182,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,184,0AhfsdWmbBuwsqXLk93pFn,GBAYD8300169,Or si rallegri il cielo - 1989 Digital Remaster,The King's Singers,103933,,short_term,184,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,185,0FagZA3eFiW0beR4xRSlOl,GBAYD0800097,Hummelflug (from Das Märchen vom Zar Saltan),Nikolai Rimsky-Korsakov | The King's Singers,78000,,short_term,185,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,186,0HD6R75qng3N7Zn5uXxYUW,GBAYD8300170,"Who made thee, Hob, forsake the plough? - 1989 Digital Remaster",The King's Singers | Anthony Holt | Consort Of Musicke | Simon Carrington,81666,,short_term,186,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,187,0K6SwVltkkQyt4Zrl4PxfF,GBAAN8100004,Easy In The City,Marianne Faithfull,196333,,short_term,187,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,188,0NvGpIcpzNo0FipKe9naaC,GBAYD0800098,Gitarren spielt auf,Ludwig Schmidseder | The King's Singers,194000,,short_term,188,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,191,0cQeKUAZNOLLpyayaIlvr2,GBAYD0700481,"Friml : The Donkey Serenade (From ""The Firefly"")",Herbert Stothart | Rudolph Friml | The King's Singers,206000,,short_term,191,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,192,0dn75T5dNMj24StMbpgegI,GBAYD8300193,"Ach, weh des Leiden - 1989 Digital Remaster",The King's Singers,184706,,short_term,192,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,193,0frJ9pMEs3EjpM15wjO5Zv,GBAYD0800096,Wenn der Wind weht über das Meer,Werner R. Heymann | The King's Singers,210000,,short_term,193,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,195,0jFh6JsXyZPBCLip0J8JxZ,GBAYD8300176,La Guerre - 1989 Digital Remaster,The King's Singers,368173,,short_term,195,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,196,0mkXphWUcailJA6IsV9DQD,SE6HN2173662,Date 2 & Mitsuha's Theme - Kimi no Na wa soundtrack - Instrumental Version,Santiago Melo,239374,,short_term,196,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,197,0wab34q52CInxmZ0y54nUL,GBAYD0800099,"No, No, Nanette: Tea for two",Vincent Youmans | The King's Singers,215000,,short_term,197,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,202,1cFnx0fwY6C1Sac1oFNidf,GBAYD8300172,Too much I once lamented - 1989 Digital Remaster,The King's Singers,211240,,short_term,202,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,203,1eT2CjXwFXNx6oY5ydvzKU,GBAYE0601566,Hey Jude,The Beatles,238854,,short_term,203,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,204,1fTmXn3DfiyHfDTO1kDzbo,GBAYD8300183,Faulte d'argent,The King's Singers | Consort Of Musicke,119906,,short_term,204,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,205,1rjVExUon7W4mbFYfshpBX,GBAYC8806615,Simon / Arr Cullen: Bridge Over Troubled Water,Paul Simon | The King's Singers | Carl Davis | English Chamber Orchestra,269106,,short_term,205,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,208,1zADrAQ8PdoGvfTBfoD6NE,GBAYD8300188,Fatal la parte - 1989 Digital Remaster,The King's Singers,54000,,short_term,208,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,209,26IwBD0SdVGuuEtzjAyiXZ,GBAYD0800102,Wochenend und Sonnenschein,Milton Ager | The King's Singers,184000,,short_term,209,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,211,2IKdyQqPlccmFZ5NHIm0KI,GX8LE2601708,Passacaglia,Pianist Daisy,194067,,short_term,211,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,212,2Jge2Q6MP538tvpNXQXpUE,GBAYD8300192,"Ach Elslein, liebes Elselein - 1989 Digital Remaster",Anthony Rooley | The King's Singers,171533,,short_term,212,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,215,2ToZuyfrugosCKm2WkCVLF,GBAYD8300182,Un gentil amoureux,The King's Singers | Consort Of Musicke,153160,,short_term,215,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,216,2VJIpkgyMX96mKktuxfGHD,GBAYD8300165,Il bianco e dolce cigno - 1989 Digital Remaster,The King's Singers | Anthony Holt,124666,,short_term,216,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,218,2W9jQGznleSwY8PXpsqPf2,GBAAN8100003,Intrigue,Marianne Faithfull,271173,,short_term,218,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,219,2bIAXDcBRWV3iiU1UoiX2c,GBAYD8300178,"Mignonne, allons voir si la rose",Anthony Rooley | The King's Singers | Simon Carrington,151173,,short_term,219,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,220,2bJvI42r8EF3wxjOuDav4r,USRC11402647,Time of Our Lives,Pitbull | Ne-Yo,229358,,short_term,220,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,221,2mnUGxY7QpO62QH1KqhY4O,USRE10900396,Can't Find My Way Home - Live from Madison Square Garden,Eric Clapton | Steve Winwood,332813,,short_term,221,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,222,2nafCirhlhOrADztKGd7RI,GBAYD0800094,"Eins, zwei, drei, vier",Paul Abraham | The King's Singers,121000,,short_term,222,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,223,2zQ4IChuAANJf70vz3ICoP,GBAYD8300187,"Cucú, Cucú - 1989 Digital Remaster",The King's Singers,57733,,short_term,223,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,224,30RT4IksXQitnbcoqCrFWm,GBAYD8300185,La tricotea Samartin la vea - 1989 Digital Remaster,The King's Singers | Consort Of Musicke,94826,,short_term,224,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,225,32LUH7H9vkYVhFHIeQFA34,GBAYD8300167,Ultimi mei sospiri - 1989 Digital Remaster,The King's Singers,201066,,short_term,225,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,226,32q4kkoVx7hcYHAt13IN1k,GBAYC8806616,Simon / Arr Cullen: The Sound of Silence,Paul Simon | The King's Singers | Carl Davis | English Chamber Orchestra,328493,,short_term,226,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,227,34lupuiXvgbzqcOfPdrNic,GBFUA1000001,Spanish Dancer - 2010 Version,Steve Winwood,370693,,short_term,227,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,228,36sUwBECBd5voRbwrdIbBX,GBAYD8300191,Vitrum nostrum gloriosum - 1989 Digital Remaster,The King's Singers | Consort Of Musicke,89826,,short_term,228,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,230,3HG6k7ljKJoX9BMXGhYxnQ,GBAYD8300344,Now is The Month of Maying - 1989 Digital Remaster,The King's Singers,145000,,short_term,230,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,231,3Ie2eLOIj2IhKnzPwXrLbJ,USSM17100342,She's Got a Way,Billy Joel,175083,,short_term,231,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,233,3e7HfcY4WOppERKwFko08Q,GBAYD0700479,Stormy Weather,Harold Arlen | The King's Singers,233000,,short_term,233,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,234,3hPwiRNVmWd69wDNeavd9T,GBAAN8100005,Strange One,Marianne Faithfull,172333,,short_term,234,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,235,3lLvfaaU1ARbxAB2qhtIym,FR50X2302612,"Così fan tutte, K.588, Act I: Sextetto. ""Alla bella Despinetta""",Wolfgang Amadeus Mozart | Golda Schultz | Kammerakademie Potsdam | Antonello Manacorda | Julie Roset | Amitai Pati | Ashley Dixon Santelli | Milan Siljanov | Samuel Dale Johnson,268880,,short_term,235,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,236,3mMyeGK1uUYhal3mERJ44H,GBAYD8300190,Tanzen und Springen - 1989 Digital Remaster,The King's Singers | Consort Of Musicke,104000,,short_term,236,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,237,3n0nEpArcSjh04tGYiO14P,GBAYD8300164,Lirum bililirum - 1989 Digital Remaster,The King's Singers | Consort Of Musicke,97666,,short_term,237,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,240,3vZs8o4aKQS7IZdtIN544J,GBAYD0800095,Das ist die Liebe der Matrosen,Werner R. Heymann | The King's Singers,185000,,short_term,240,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,242,3yu8uEsdvZUA1vSKt32dpu,GBAYD0800091,"Liebling, mein Herz läßt dich grüßen",Werner R. Heymann | The King's Singers,173000,,short_term,242,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,244,4850v7DuT7raVYAWc1ODPv,USSM17600479,"Summer, Highland Falls",Billy Joel,200165,,short_term,244,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,245,48DYQUzmiq76xTpGUTAW2z,GBAYD8300194,Das Glaut zu Speyer - 1989 Digital Remaster,The King's Singers,67000,,short_term,245,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,246,4Az17xLJj5BF4FDgusAp62,GBAYD8300184,Tres morillas m'enamoran - 1989 Digital Remaster,Anthony Rooley | The King's Singers,147000,,short_term,246,,,,unmatched,,,,,,no_ds001_candidate,2.500000
