playlist_id,playlist_name,playlist_position,added_at,added_by,is_local,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
1KGaBzVFzJysJkJ4fzvbWQ,Nic,8,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,9,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,10,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,11,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,12,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,13,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,14,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,15,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,16,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,17,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,18,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,19,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,20,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,21,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,22,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,23,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,24,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,25,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,26,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,27,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,28,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,29,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,30,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,31,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,32,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,33,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,34,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,35,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,36,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,37,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,38,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,39,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,40,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,41,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,42,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,43,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,44,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,45,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,46,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,47,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,48,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,49,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,50,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,51,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,52,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,53,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,54,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,55,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,56,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,57,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,58,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,59,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,60,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,61,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,62,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,63,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,64,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,65,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,66,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,67,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,68,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,69,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,70,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,71,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,72,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,73,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,74,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,75,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,76,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,77,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,78,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,79,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,80,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,81,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,82,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,83,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,84,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,85,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
1KGaBzVFzJysJkJ4fzvbWQ,Nic,86,2025-10-26T18:18:30Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,1,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,2,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,3,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,4,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,5,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,6,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,7,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,8,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,9,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,10,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,11,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,12,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,13,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,14,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,15,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,16,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,17,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,18,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,19,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,20,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,21,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,22,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,23,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,24,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,25,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,26,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,27,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
0phNRuofdBmYCZUR4E46QI,Vol2,28,2025-07-30T14:35:49Z,214f23jw73wgv4vdpcjabds2a,False,,,,,,,,,,,,,,,,,,,
