played_at,context_type,context_uri,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-03-24T10:38:43.544Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,24iBrOJoRFiQygVJgkWBRl,spotify:track:24iBrOJoRFiQygVJgkWBRl,For You,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,189493,189.493,,False,,,,,https://api.spotify.com/v1/tracks/24iBrOJoRFiQygVJgkWBRl,https://open.spotify.com/track/24iBrOJoRFiQygVJgkWBRl
2026-03-24T10:35:43.478Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,7wBf5LhqfF6A9AVHILTJWi,spotify:track:7wBf5LhqfF6A9AVHILTJWi,If Not Now...,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,181266,181.266,,False,,,,,https://api.spotify.com/v1/tracks/7wBf5LhqfF6A9AVHILTJWi,https://open.spotify.com/track/7wBf5LhqfF6A9AVHILTJWi
2026-03-24T10:32:46.427Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,17W8bZBSty1TJ4CRG4GGJK,spotify:track:17W8bZBSty1TJ4CRG4GGJK,For My Lover,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,192440,192.44,,False,,,,,https://api.spotify.com/v1/tracks/17W8bZBSty1TJ4CRG4GGJK,https://open.spotify.com/track/17W8bZBSty1TJ4CRG4GGJK
2026-03-24T10:29:13.765Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,0M8Xggmk34Ntg1wY5wd5A3,spotify:track:0M8Xggmk34Ntg1wY5wd5A3,Why?,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,126400,126.4,,False,,,,,https://api.spotify.com/v1/tracks/0M8Xggmk34Ntg1wY5wd5A3,https://open.spotify.com/track/0M8Xggmk34Ntg1wY5wd5A3
2026-03-24T10:27:13.672Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,61xvgZVz1DiR628nmGtsZH,spotify:track:61xvgZVz1DiR628nmGtsZH,She's Got Her Ticket,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,234506,234.506,,False,,,,,https://api.spotify.com/v1/tracks/61xvgZVz1DiR628nmGtsZH,https://open.spotify.com/track/61xvgZVz1DiR628nmGtsZH
2026-03-24T10:23:13.729Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,45GTwVJoDDLGEAYkB5NOrT,spotify:track:45GTwVJoDDLGEAYkB5NOrT,Mountains O' Things,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,279426,279.426,,False,,,,,https://api.spotify.com/v1/tracks/45GTwVJoDDLGEAYkB5NOrT,https://open.spotify.com/track/45GTwVJoDDLGEAYkB5NOrT
2026-03-24T10:18:44.782Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,2DjWsDGgL1xNbhnr7f6t5F,spotify:track:2DjWsDGgL1xNbhnr7f6t5F,Baby Can I Hold You,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,193120,193.12,,False,,,,,https://api.spotify.com/v1/tracks/2DjWsDGgL1xNbhnr7f6t5F,https://open.spotify.com/track/2DjWsDGgL1xNbhnr7f6t5F
2026-03-24T10:15:13.155Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,00OMaIm4VEsUcXad5Pf1Qe,spotify:track:00OMaIm4VEsUcXad5Pf1Qe,Behind the Wall,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,109506,109.506,,False,,,,,https://api.spotify.com/v1/tracks/00OMaIm4VEsUcXad5Pf1Qe,https://open.spotify.com/track/00OMaIm4VEsUcXad5Pf1Qe
2026-03-24T10:05:43.639Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,3XkXJNMHJB0UiKiVz83yD7,spotify:track:3XkXJNMHJB0UiKiVz83yD7,Across the Lines,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,204666,204.666,,False,,,,,https://api.spotify.com/v1/tracks/3XkXJNMHJB0UiKiVz83yD7,https://open.spotify.com/track/3XkXJNMHJB0UiKiVz83yD7
2026-03-24T10:02:14.394Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,3XkXJNMHJB0UiKiVz83yD7,spotify:track:3XkXJNMHJB0UiKiVz83yD7,Across the Lines,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,204666,204.666,,False,,,,,https://api.spotify.com/v1/tracks/3XkXJNMHJB0UiKiVz83yD7,https://open.spotify.com/track/3XkXJNMHJB0UiKiVz83yD7
2026-03-24T09:37:34.891Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,Fast Car,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,296800,296.8,,False,,,,,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo
2026-03-24T09:32:35.414Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,0YMFcrMtBowDdD5bPz0cgy,spotify:track:0YMFcrMtBowDdD5bPz0cgy,Talkin' Bout a Revolution,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,161600,161.6,,False,,,,,https://api.spotify.com/v1/tracks/0YMFcrMtBowDdD5bPz0cgy,https://open.spotify.com/track/0YMFcrMtBowDdD5bPz0cgy
2026-03-24T09:30:05.265Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,24iBrOJoRFiQygVJgkWBRl,spotify:track:24iBrOJoRFiQygVJgkWBRl,For You,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,189493,189.493,,False,,,,,https://api.spotify.com/v1/tracks/24iBrOJoRFiQygVJgkWBRl,https://open.spotify.com/track/24iBrOJoRFiQygVJgkWBRl
2026-03-24T09:26:35.068Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,7wBf5LhqfF6A9AVHILTJWi,spotify:track:7wBf5LhqfF6A9AVHILTJWi,If Not Now...,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,181266,181.266,,False,,,,,https://api.spotify.com/v1/tracks/7wBf5LhqfF6A9AVHILTJWi,https://open.spotify.com/track/7wBf5LhqfF6A9AVHILTJWi
2026-03-24T09:23:35.157Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,17W8bZBSty1TJ4CRG4GGJK,spotify:track:17W8bZBSty1TJ4CRG4GGJK,For My Lover,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,192440,192.44,,False,,,,,https://api.spotify.com/v1/tracks/17W8bZBSty1TJ4CRG4GGJK,https://open.spotify.com/track/17W8bZBSty1TJ4CRG4GGJK
2026-03-24T09:20:27.866Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,0M8Xggmk34Ntg1wY5wd5A3,spotify:track:0M8Xggmk34Ntg1wY5wd5A3,Why?,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,126400,126.4,,False,,,,,https://api.spotify.com/v1/tracks/0M8Xggmk34Ntg1wY5wd5A3,https://open.spotify.com/track/0M8Xggmk34Ntg1wY5wd5A3
2026-03-24T09:18:34.998Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,61xvgZVz1DiR628nmGtsZH,spotify:track:61xvgZVz1DiR628nmGtsZH,She's Got Her Ticket,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,234506,234.506,,False,,,,,https://api.spotify.com/v1/tracks/61xvgZVz1DiR628nmGtsZH,https://open.spotify.com/track/61xvgZVz1DiR628nmGtsZH
