rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,duration_ms_similarity,duration_ms_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
8152,rmpwyNqR1qoUsMIa,folk,folk,indie,0.146588,0.51789,0.062147,0.0,0.0,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8153,lT9o3PSl2Hh3BDn0,folk,folk|singer-songwriter,indie|female vocalists|alternative,0.14658,0.181757,0.021811,0.0,0.0,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.103465,0.019658,0.17205,0.039572
8154,r1Op3qmZmwEi5Zg8,dance,pop,dance|pop,0.146531,0.258157,0.030979,0.0,0.0,0.271408,0.018999,0.0,0.0,0.0,0.0,0.229808,0.043664,0.229952,0.052889
8155,gvlYkb1YI0zJQbLq,electronic,electronic,electronic,0.146526,0.126557,0.015187,0.0,0.0,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
8156,lPprNojmNE2ndLmW,electronic,electronic,electronic,0.146294,0.124624,0.014955,0.0,0.0,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
8157,HlqTlQ8W3JUyq82h,electropop,pop,pop,0.14627,0.0,0.0,0.0,0.0,0.271408,0.018999,0.535519,0.042842,0.0,0.0,0.229808,0.043664,0.177239,0.040765
8158,uqeZqLAGIa00XcO2,folk,folk|singer-songwriter,indie,0.146227,0.412757,0.049531,0.0,0.0,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.103465,0.019658,0.049994,0.011499
8159,fZS2xHfudi4ZX9Vk,indie,folk,indie|alternative,0.146188,0.263357,0.031603,0.563416,0.045073,0.271408,0.018999,0.194581,0.015566,0.0,0.0,0.038964,0.007403,0.119758,0.027544
8160,k68gY6cVhJthOSEj,alternative,rock,alternative|rock,0.146141,0.0,0.0,0.0,0.0,0.271408,0.018999,0.0,0.0,0.0,0.0,0.302395,0.057455,0.302986,0.069687
8161,eTnLKU4ztAh7bgRR,folk,folk,indie,0.146119,0.0,0.0,0.0,0.0,0.271408,0.018999,0.770981,0.061678,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8162,DzXahpURXW6pPgFp,folk,folk,indie,0.146034,0.0,0.0,0.769917,0.061593,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8163,b2txUbCvlgHUCoxt,folk,folk,indie,0.146034,0.0,0.0,0.769917,0.061593,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8164,p4XjV5ejfRmZMj8S,soul,pop,indie|pop,0.145922,0.25829,0.030995,0.0,0.0,0.271408,0.018999,0.0,0.0,0.0,0.0,0.229808,0.043664,0.227233,0.052264
8165,zKfhfmRYCZT9EtJ0,electronic,electronic,electronic,0.145731,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.076652,0.006132,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
8166,xOFSTaiVIxYgPQ1l,indie,folk|electronic,indie|electronic,0.145644,0.140643,0.016877,0.103251,0.00826,0.271408,0.018999,0.674115,0.053929,0.0,0.0,0.117019,0.022234,0.110194,0.025345
8167,8xGk2qgCuBoINsR9,rock brasileiro,rock,rock,0.145633,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.090981,0.007278,0.0,0.0,0.302395,0.057455,0.233222,0.053641
8168,m0jLuHnr7g6lxWu5,witch house,electronic,electronic,0.145626,0.0,0.0,0.769917,0.061593,0.271408,0.018999,0.454481,0.036358,0.0,0.0,0.078055,0.01483,0.0602,0.013846
8169,8t7ynPbAHrC5mYBY,2017,electronic,indie|electronic,0.145183,0.39189,0.047027,0.0,0.0,0.271408,0.018999,0.487281,0.038982,0.0,0.0,0.078055,0.01483,0.110194,0.025345
8170,IzzdtX0xTF5p2JyJ,folk,folk|alternative rock,indie,0.145171,0.436624,0.052395,0.0,0.0,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.08283,0.015738,0.049994,0.011499
8171,Qa5UzdWo5cuOEWhc,folk,folk,indie,0.144836,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.651685,0.052135,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8172,TVjJmUYEzq7ElGHM,futurepop,electronic,electronic,0.144819,0.272776,0.032733,0.769917,0.061593,0.271408,0.018999,0.035219,0.002818,0.0,0.0,0.078055,0.01483,0.0602,0.013846
8173,as1XGCjlvfvBlkPp,rap,rap,,0.144817,0.332624,0.039915,0.0,0.0,0.271408,0.018999,0.031219,0.002498,0.320991,0.073828,0.050403,0.009577,0.0,0.0
8174,UozV7bl2JAlh9EMm,spanish indie pop,pop,pop|indie,0.144602,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.267685,0.021415,0.0,0.0,0.229808,0.043664,0.227233,0.052264
8175,nL9tLtv5xsn5sECY,guitar,singer-songwriter,indie,0.144558,0.256357,0.030763,0.769917,0.061593,0.271408,0.018999,0.118115,0.009449,0.0,0.0,0.064501,0.012255,0.049994,0.011499
8176,ShZx2rHzebN1A1tz,dutch,pop,pop,0.144165,0.0,0.0,0.0,0.0,0.271408,0.018999,0.509215,0.040737,0.0,0.0,0.229808,0.043664,0.177239,0.040765
